gx,gy,gz
-2414,4789,-148
-2434,4787,-189
-2433,4748,-138
-2403,4797,-159
-2400,4791,-171
-2457,4810,-173
-2422,4810,-163
-2442,4776,-173
-2425,4832,-164
-2422,4790,-163
-2397,4809,-190
-2401,4775,-148
-2435,4750,-195
-2432,4782,-183
-2449,4797,-176
-2443,4782,-159
-2430,4770,-146
-2420,4796,-146
-2458,4763,-152
-2440,4784,-159
-2445,4782,-123
-2444,4804,-184
-2449,4788,-135
-2407,4762,-168
-2430,4791,-157
-2425,4762,-176
-2430,4799,-156
-2429,4791,-145
-2402,4801,-178
-2418,4784,-148
-2411,4781,-180
-2411,4783,-178
-2433,4815,-166
-2424,4770,-157
-2439,4791,-165
-2438,4779,-203
-2421,4771,-145
-2412,4788,-136
-2420,4777,-161
-2442,4792,-163
-2424,4775,-172
-2436,4788,-178
-2443,4774,-172
-2442,4796,-175
-2437,4811,-157
-2438,4777,-181
-2460,4772,-191
-2432,4756,-169
-2454,4844,-152
-2425,4808,-130
-2429,4769,-154
-2438,4806,-177
-2410,4778,-157
-2468,4811,-150
-2446,4808,-155
-2393,4790,-175
-2407,4804,-164
-2415,4773,-154
-2408,4808,-174
-2419,4800,-161
-2429,4828,-168
-2419,4795,-180
-2418,4792,-165
-2417,4778,-150
-2432,4778,-160
-2444,4769,-152
-2432,4792,-150
-2450,4820,-164
-2407,4786,-136
-2431,4812,-145
-2477,4801,-163
-2439,4801,-171
-2415,4781,-158
-2405,4783,-183
-2463,4753,-143
-2395,4786,-147
-2431,4803,-149
-2445,4801,-159
-2444,4822,-164
-2420,4780,-166
-2430,4804,-140
-2426,4810,-152
-2466,4772,-174
-2470,4809,-173
-2417,4764,-145
-2451,4777,-160
-2435,4770,-137
-2439,4772,-178
-2434,4779,-150
-2436,4814,-149
-2416,4762,-165
-2400,4803,-142
-2431,4765,-173
-2422,4788,-183
-2390,4767,-170
-2442,4783,-147
-2400,4801,-166
-2422,4788,-157
-2400,4807,-163
-2422,4771,-144
-2400,4756,-156
-2434,4791,-158
-2421,4778,-157
-2430,4802,-170
-2436,4769,-144
-2444,4788,-161
-2421,4788,-175
-2382,4797,-155
-2451,4826,-176
-2392,4742,-213
-2452,4755,-183
-2418,4798,-190
-2385,4781,-149
-2403,4742,-157
-2418,4796,-161
-2453,4776,-161
-2440,4798,-135
-2439,4753,-150
-2405,4760,-170
-2435,4796,-163
-2425,4769,-136
-2425,4795,-143
-2436,4749,-138
-2403,4836,-191
-2438,4792,-160
-2411,4756,-146
-2408,4793,-160
-2429,4794,-146
-2438,4828,-170
-2444,4795,-133
-2415,4791,-173
-2430,4804,-150
-2443,4807,-165
-2440,4795,-183
-2393,4781,-189
-2418,4791,-139
-2423,4759,-155
-2417,4761,-141
-2434,4767,-180
-2441,4820,-176
-2457,4759,-172
-2403,4807,-192
-2421,4775,-164
-2394,4782,-154
-2429,4762,-169
-2426,4769,-179
-2409,4804,-181
-2423,4759,-145
-2432,4817,-159
-2396,4787,-144
-2421,4804,-157
-2427,4835,-153
-2405,4764,-163
-2423,4792,-168
-2452,4783,-154
-2432,4790,-138
-2423,4776,-145
-2401,4750,-167
-2426,4798,-120
-2435,4764,-166
-2433,4782,-169
-2419,4801,-148
-2410,4743,-177
-2405,4777,-153
-2429,4767,-136
-2436,4779,-143
-2417,4774,-179
-2434,4765,-137
-2441,4796,-162
-2440,4752,-169
-2433,4790,-132
-2467,4792,-151
-2453,4797,-144
-2418,4816,-169
-2460,4769,-143
-2426,4792,-171
-2459,4796,-188
-2424,4783,-165
-2419,4794,-156
-2409,4746,-171
-2435,4816,-173
-2418,4784,-137
-2454,4778,-158
-2416,4763,-156
-2427,4770,-185
-2418,4775,-163
-2414,4777,-189
-2439,4779,-175
-2408,4792,-144
-2417,4777,-160
-2427,4757,-159
-2448,4815,-186
-2436,4788,-150
-2425,4813,-152
-2451,4800,-156
-2395,4793,-184
-2425,4766,-159
-2452,4774,-154
-2458,4822,-180
-2434,4755,-145
-2422,4812,-181
-2452,4790,-138
-2435,4785,-157
-2430,4779,-150
-2454,4821,-157
-2389,4800,-147
-2416,4772,-142
-2413,4802,-152
-2441,4822,-162
-2448,4821,-169
-2437,4762,-154
-2427,4778,-154
-2424,4803,-172
-2397,4790,-144
-2432,4802,-165
-2426,4809,-149
-2404,4789,-169
-2421,4776,-150
-2396,4779,-163
-2403,4781,-148
-2430,4751,-177
-2414,4799,-167
-2425,4770,-164
-2440,4811,-163
-2404,4793,-161
-2425,4797,-158
-2433,4791,-170
-2450,4791,-178
-2457,4774,-144
-2433,4771,-146
-2425,4768,-164
-2419,4775,-138
-2444,4790,-151
-2445,4785,-135
-2422,4794,-163
-2418,4787,-146
-2447,4802,-181
-2462,4786,-152
-2423,4795,-182
-2448,4756,-155
-2416,4781,-155
-2411,4766,-161
-2429,4782,-162
-2406,4799,-166
-2428,4783,-163
-2393,4746,-184
-2438,4754,-155
-2406,4801,-172
-2427,4807,-162
-2466,4774,-135
-2419,4771,-154
-2440,4793,-146
-2404,4775,-157
-2433,4821,-154
-2436,4786,-160
-2414,4768,-159
-2475,4815,-153
-2415,4779,-161
-2409,4753,-134
-2452,4763,-162
-2403,4790,-168
-2444,4768,-172
-2441,4790,-149
-2414,4784,-156
-2429,4765,-179
-2421,4771,-158
-2413,4781,-157
-2421,4784,-159
-2386,4754,-143
-2482,4819,-145
-2426,4786,-151
-2397,4770,-114
-2409,4778,-153
-2410,4778,-150
-2427,4785,-178
-2412,4757,-170
-2460,4794,-147
-2456,4790,-164
-2419,4758,-180
-2435,4807,-187
-2445,4775,-178
-2408,4743,-145
-2463,4812,-175
-2432,4788,-187
-2418,4764,-181
-2435,4831,-170
-2387,4757,-156
-2428,4774,-158
-2429,4785,-179
-2426,4788,-167
-2415,4780,-179
-2395,4780,-133
-2413,4832,-119
-2428,4814,-199
-2408,4774,-151
-2425,4770,-185
-2400,4766,-149
-2425,4801,-177
-2445,4812,-177
-2423,4826,-162
-2444,4808,-178
-2458,4781,-167
-2440,4816,-179
-2446,4793,-151
-2477,4786,-202
-2399,4769,-162
-2401,4805,-137
-2434,4745,-160
-2408,4820,-139
-2467,4799,-175
-2426,4757,-164
-2436,4805,-179
-2429,4778,-171
-2435,4783,-167
-2432,4807,-175
-2397,4809,-165
-2432,4798,-196
-2409,4819,-158
-2453,4816,-201
-2424,4787,-125
-2407,4786,-188
-2405,4752,-183
-2439,4746,-173
-2437,4790,-158
-2446,4802,-173
-2394,4771,-159
-2433,4781,-138
-2401,4766,-164
-2451,4816,-122
-2426,4769,-176
-2413,4805,-154
-2414,4798,-156
-2443,4753,-205
-2402,4792,-176
-2421,4764,-148
-2405,4783,-167
-2415,4775,-173
-2448,4818,-151
-2422,4818,-160
-2464,4805,-150
-2424,4803,-143
-2457,4808,-145
-2443,4769,-147
-2431,4798,-164
-2425,4781,-178
-2434,4758,-132
-2420,4802,-143
-2398,4765,-214
-2427,4786,-141
-2415,4798,-181
-2454,4796,-180
-2405,4764,-169
-2431,4786,-176
-2414,4789,-148
-2416,4825,-174
-2442,4796,-171
-2403,4756,-167
-2491,4767,-125
-2409,4762,-141
-2423,4790,-196
-2454,4775,-152
-2409,4790,-139
-2406,4778,-156
-2420,4786,-184
-2453,4774,-163
-2456,4802,-172
-2410,4801,-154
-2433,4792,-191
-2413,4813,-176
-2462,4793,-152
-2448,4810,-167
-2424,4817,-132
-2400,4785,-150
-2430,4791,-154
-2432,4802,-131
-2456,4796,-145
-2416,4790,-115
-2411,4785,-190
-2431,4787,-161
-2407,4772,-143
-2448,4803,-141
-2441,4795,-190
-2413,4795,-173
-2412,4790,-162
-2416,4760,-194
-2445,4823,-147
-2431,4790,-139
-2418,4780,-134
-2405,4794,-177
-2433,4797,-175
-2451,4779,-163
-2445,4808,-153
-2436,4826,-151
-2420,4776,-174
-2416,4790,-141
-2390,4793,-160
-2413,4775,-136
-2439,4758,-169
-2420,4783,-172
-2435,4795,-161
-2412,4798,-189
-2424,4763,-139
-2379,4779,-176
-2429,4741,-135
-2398,4770,-183
-2431,4759,-150
-2459,4763,-156
-2403,4780,-140
-2379,4787,-129
-2406,4799,-173
-2412,4779,-157
-2439,4787,-183
-2422,4774,-153
-2441,4795,-157
-2448,4793,-151
-2422,4811,-147
-2435,4735,-157
-2398,4787,-167
-2415,4763,-166
-2434,4788,-135
-2399,4775,-169
-2435,4806,-157
-2429,4803,-197
-2429,4812,-121
-2423,4788,-172
-2437,4852,-157
-2419,4791,-132
-2465,4791,-164
-2401,4757,-158
-2431,4764,-142
-2447,4815,-171
-2429,4803,-170
-2424,4810,-175
-2442,4791,-173
-2427,4776,-192
-2436,4790,-180
-2435,4772,-165
-2415,4765,-148
-2412,4794,-191
-2421,4777,-167
-2409,4782,-165
-2477,4779,-162
-2457,4818,-174
-2442,4809,-163
-2462,4817,-167
-2423,4802,-157
-2428,4749,-130
-2414,4786,-166
-2430,4810,-146
-2420,4800,-158
-2411,4806,-141
-2429,4816,-175
-2417,4779,-149
-2406,4815,-161
-2423,4786,-169
-2420,4803,-140
-2431,4786,-160
-2438,4766,-164
-2412,4791,-185
-2432,4803,-155
-2418,4777,-113
-2412,4762,-162
-2467,4821,-144
-2413,4797,-172
-2450,4817,-164
-2392,4789,-155
-2433,4776,-154
-2417,4809,-191
-2417,4778,-165
-2418,4800,-144
-2420,4802,-170
-2431,4787,-179
-2426,4793,-156
-2426,4764,-127
-2392,4798,-136
-2453,4822,-139
-2439,4804,-167
-2469,4816,-143
-2424,4788,-153
-2407,4771,-180
-2444,4814,-150
-2400,4782,-189
-2445,4784,-147
-2415,4803,-198
-2441,4795,-187
-2432,4796,-182
-2419,4794,-183
-2406,4775,-162
-2452,4797,-176
-2404,4768,-141
-2455,4818,-169
-2442,4762,-178
-2413,4819,-164
-2435,4826,-172
-2411,4780,-179
-2414,4787,-179
-2437,4784,-146
-2479,4854,-173
-2433,4813,-137
-2440,4791,-160
-2405,4795,-158
-2413,4789,-133
-2428,4779,-154
-2437,4810,-144
-2405,4779,-167
-2431,4780,-140
-2423,4795,-160
-2423,4768,-176
-2434,4771,-179
-2450,4770,-175
-2453,4771,-171
-2466,4824,-164
-2428,4790,-143
-2425,4784,-176
-2443,4749,-154
-2410,4777,-173
-2422,4746,-150
-2443,4819,-151
-2438,4806,-139
-2421,4782,-174
-2430,4778,-163
-2418,4788,-136
-2441,4798,-176
-2414,4780,-130
-2410,4769,-165
-2426,4789,-145
-2415,4789,-150
-2446,4779,-152
-2424,4762,-149
-2440,4799,-167
-2410,4772,-158
-2410,4807,-183
-2397,4740,-130
-2396,4771,-167
-2451,4796,-169
-2427,4799,-178
-2408,4798,-139
-2435,4786,-145
-2414,4752,-171
-2449,4787,-153
-2442,4775,-165
-2451,4803,-161
-2410,4787,-150
-2429,4808,-168
-2447,4784,-173
-2411,4785,-153
-2432,4833,-181
-2438,4800,-155
-2405,4796,-164
-2393,4762,-175
-2431,4775,-131
-2416,4771,-119
-2428,4791,-159
-2422,4790,-148
-2424,4815,-131
-2427,4802,-137
-2416,4812,-175
-2428,4798,-141
-2410,4818,-165
-2414,4794,-175
-2417,4780,-195
-2414,4827,-179
-2457,4760,-156
-2412,4771,-165
-2402,4783,-196
-2462,4836,-177
-2457,4804,-149
-2426,4760,-168
-2408,4768,-154
-2400,4812,-175
-2448,4824,-162
-2429,4780,-123
-2401,4750,-153
-2411,4802,-125
-2432,4819,-126
-2461,4759,-166
-2454,4821,-156
-2424,4816,-156
-2418,4797,-152
-2409,4790,-165
-2438,4809,-192
-2442,4808,-161
-2414,4788,-149
-2391,4761,-146
-2449,4784,-167
-2408,4792,-175
-2421,4758,-153
-2434,4778,-183
-2404,4763,-162
-2422,4828,-139
-2453,4783,-196
-2429,4794,-141
-2429,4807,-178
-2419,4758,-139
-2440,4785,-174
-2419,4794,-164
-2446,4816,-169
-2456,4801,-174
-2416,4770,-162
